,DSS,MSS,RSC,MPS,INT,FEL,BLO,ROS,CUM,s1,s2,s3,s4,POV,SID,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,t1,t2,g1,g2,b1,b2
DSS,1.0,0.917,0.8948,0.9087,0.9197,0.9198,0.9247,0.9323,0.9086,0.9237,0.9207,0.9256,0.9062,0.8975,0.9192,0.8955,0.9055,0.9245,0.9007,0.9058,0.9134,0.9287,0.9267,0.9019,0.9099,0.8989,0.8986,0.9002,0.9026,0.9107,0.9049,0.9081,0.9021,0.9264,0.8987,0.9171,0.904,0.9096,0.9118,0.9137,0.897,0.9038
MSS,0.917,1.0,0.8673,0.9502,0.9447,0.9483,0.9425,0.9287,0.9482,0.9504,0.9455,0.9434,0.9482,0.9374,0.9226,0.9308,0.9485,0.9336,0.9305,0.9435,0.95,0.9365,0.9393,0.9409,0.95,0.9319,0.916,0.9342,0.9386,0.9445,0.9467,0.9431,0.9448,0.947,0.9386,0.9407,0.9448,0.9406,0.9463,0.9378,0.9433,0.9407
RSC,0.8948,0.8673,1.0,0.8704,0.8733,0.8685,0.8819,0.8976,0.8718,0.879,0.8705,0.8756,0.8684,0.8614,0.8876,0.8539,0.8685,0.8605,0.8561,0.8601,0.8658,0.8768,0.8756,0.8654,0.8722,0.8664,0.8546,0.8647,0.8735,0.8695,0.866,0.866,0.8659,0.8768,0.8618,0.8714,0.8641,0.8668,0.8746,0.8786,0.8607,0.861
MPS,0.9087,0.9502,0.8704,1.0,0.9397,0.9487,0.9357,0.9247,0.9445,0.9428,0.9467,0.9379,0.9446,0.9308,0.9196,0.9221,0.9435,0.9307,0.9295,0.9399,0.9473,0.94,0.944,0.9304,0.9416,0.9287,0.9168,0.9286,0.9333,0.9424,0.9401,0.9351,0.9388,0.943,0.9307,0.9407,0.9363,0.9416,0.9418,0.9443,0.9391,0.9355
INT,0.9197,0.9447,0.8733,0.9397,1.0,0.9487,0.9464,0.9287,0.942,0.9524,0.9486,0.9556,0.9473,0.9308,0.9259,0.9287,0.9432,0.9343,0.9299,0.939,0.9449,0.9469,0.9501,0.9375,0.9417,0.9325,0.9261,0.931,0.9385,0.9456,0.9411,0.9421,0.9379,0.9512,0.9358,0.94,0.9388,0.9419,0.9448,0.9389,0.9292,0.9314
FEL,0.9198,0.9483,0.8685,0.9487,0.9487,1.0,0.9585,0.9273,0.9474,0.9599,0.9499,0.9505,0.9483,0.9352,0.9232,0.9297,0.9455,0.9379,0.9342,0.9406,0.9443,0.9479,0.9498,0.9339,0.9411,0.9323,0.9237,0.9331,0.9351,0.9442,0.9429,0.9453,0.9389,0.9539,0.9368,0.9562,0.9374,0.939,0.9436,0.9454,0.9403,0.9377
BLO,0.9247,0.9425,0.8819,0.9357,0.9464,0.9585,1.0,0.9342,0.9382,0.9518,0.9439,0.9514,0.9387,0.934,0.9286,0.9227,0.9361,0.9309,0.9239,0.935,0.9377,0.947,0.9477,0.9308,0.9359,0.9316,0.9366,0.9362,0.9294,0.9396,0.937,0.9348,0.9322,0.9487,0.9276,0.942,0.9317,0.9352,0.9407,0.9461,0.9282,0.9246
ROS,0.9323,0.9287,0.8976,0.9247,0.9287,0.9273,0.9342,1.0,0.9278,0.9301,0.9304,0.9286,0.9253,0.913,0.927,0.9092,0.9227,0.9206,0.9126,0.9229,0.9279,0.9289,0.9296,0.9144,0.9236,0.9137,0.9086,0.9212,0.9243,0.9277,0.9207,0.9241,0.9189,0.9344,0.9149,0.9202,0.9206,0.9215,0.9289,0.9249,0.9162,0.9209
CUM,0.9086,0.9482,0.8718,0.9445,0.942,0.9474,0.9382,0.9278,1.0,0.9474,0.9461,0.9419,0.9684,0.9488,0.9205,0.9406,0.9664,0.949,0.9478,0.9629,0.9645,0.9429,0.9473,0.9502,0.9599,0.9515,0.9222,0.9519,0.9618,0.9594,0.9582,0.9603,0.963,0.9507,0.9545,0.9373,0.9559,0.9586,0.9637,0.9407,0.9551,0.9607
s1,0.9237,0.9504,0.879,0.9428,0.9524,0.9599,0.9518,0.9301,0.9474,1.0,0.9587,0.9596,0.9445,0.9412,0.9281,0.9306,0.9603,0.9389,0.9332,0.9445,0.9506,0.9502,0.9504,0.9379,0.9441,0.9343,0.9247,0.9358,0.9406,0.9491,0.943,0.9439,0.9418,0.9517,0.9356,0.9589,0.9391,0.9411,0.9455,0.9443,0.931,0.9359
