,DSS,MSS,RSC,MPS,INT,FEL,BLO,ROS,CUM,s1,s2,s3,s4,POV,SID,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,t1,t2,g1,g2,b1,b2
DSS,0.0,0.4073,0.4586,0.4273,0.4007,0.4004,0.3881,0.3679,0.4275,0.3907,0.3983,0.3856,0.4332,0.4528,0.402,0.4573,0.4347,0.3886,0.4457,0.434,0.4161,0.3775,0.3828,0.4429,0.4246,0.4497,0.4502,0.4468,0.4414,0.4227,0.436,0.4286,0.4425,0.3836,0.4501,0.4071,0.4382,0.4253,0.42,0.4154,0.4538,0.4385
MSS,0.4073,0.0,0.5152,0.3156,0.3326,0.3216,0.3392,0.3777,0.3218,0.3151,0.3302,0.3364,0.3218,0.3539,0.3934,0.3721,0.3211,0.3645,0.3729,0.3362,0.3163,0.3565,0.3485,0.3437,0.3162,0.3691,0.4099,0.3627,0.3505,0.3331,0.3264,0.3373,0.3321,0.3256,0.3503,0.3444,0.3323,0.3447,0.3277,0.3527,0.3369,0.3442
RSC,0.4586,0.5152,0.0,0.5091,0.5034,0.5129,0.486,0.4525,0.5064,0.4919,0.509,0.4988,0.513,0.5266,0.4742,0.5405,0.5128,0.5282,0.5364,0.5289,0.5181,0.4963,0.4989,0.5188,0.5056,0.517,0.5393,0.5201,0.503,0.5109,0.5178,0.5176,0.5179,0.4964,0.5257,0.5071,0.5214,0.5162,0.5008,0.4927,0.5278,0.5272
MPS,0.4273,0.3156,0.5091,0.0,0.3472,0.3202,0.3587,0.388,0.3333,0.3382,0.3266,0.3525,0.333,0.372,0.4011,0.3948,0.3362,0.3724,0.3755,0.3466,0.3247,0.3463,0.3347,0.3731,0.3418,0.3777,0.4079,0.3778,0.3652,0.3395,0.346,0.3602,0.3498,0.3377,0.3723,0.3445,0.3568,0.3418,0.3411,0.3337,0.3489,0.3593
INT,0.4007,0.3326,0.5034,0.3472,0.0,0.3204,0.3274,0.3777,0.3405,0.3086,0.3206,0.2978,0.3248,0.3721,0.3848,0.3775,0.337,0.3624,0.3744,0.3493,0.3319,0.326,0.316,0.3535,0.3416,0.3674,0.3844,0.3716,0.3508,0.33,0.3432,0.3404,0.3524,0.3124,0.3583,0.3463,0.35,0.3408,0.3324,0.3497,0.3762,0.3705
FEL,0.4004,0.3216,0.5129,0.3202,0.3204,0.0,0.288,0.3814,0.3242,0.2831,0.3165,0.3146,0.3215,0.3599,0.3919,0.3751,0.3302,0.3525,0.3627,0.3446,0.3337,0.3227,0.3167,0.3635,0.3433,0.368,0.3907,0.3657,0.3603,0.3341,0.3379,0.3307,0.3496,0.3038,0.3555,0.2961,0.354,0.3493,0.3359,0.3306,0.3456,0.3529
BLO,0.3881,0.3392,0.486,0.3587,0.3274,0.288,0.0,0.3628,0.3516,0.3106,0.3349,0.3118,0.3501,0.3632,0.3779,0.3932,0.3575,0.3717,0.3901,0.3606,0.3529,0.3255,0.3234,0.3721,0.3581,0.3698,0.3561,0.3572,0.3757,0.3476,0.3551,0.361,0.3682,0.3202,0.3806,0.3405,0.3696,0.3601,0.3444,0.3284,0.379,0.3883
ROS,0.3679,0.3777,0.4525,0.388,0.3777,0.3814,0.3628,0.0,0.3799,0.374,0.3731,0.3779,0.3866,0.4172,0.3822,0.4262,0.3932,0.3984,0.4182,0.3926,0.3798,0.377,0.3752,0.4137,0.3909,0.4154,0.4276,0.397,0.3891,0.3803,0.3983,0.3896,0.4027,0.3622,0.4125,0.3996,0.3985,0.3962,0.3772,0.3875,0.4093,0.3978
CUM,0.4275,0.3218,0.5064,0.3333,0.3405,0.3242,0.3516,0.3799,0.0,0.3243,0.3283,0.3409,0.2514,0.3199,0.3989,0.3447,0.2594,0.3193,0.323,0.2724,0.2665,0.3379,0.3246,0.3155,0.2834,0.3114,0.3945,0.3102,0.2765,0.285,0.2892,0.2817,0.272,0.3139,0.3016,0.354,0.297,0.2876,0.2696,0.3444,0.2997,0.2805
s1,0.3907,0.3151,0.4919,0.3382,0.3086,0.2831,0.3106,0.374,0.3243,0.0,0.2876,0.2841,0.3332,0.3428,0.3792,0.3727,0.2819,0.3496,0.3656,0.3331,0.3143,0.3156,0.3149,0.3525,0.3343,0.3626,0.3881,0.3583,0.3448,0.319,0.3377,0.3348,0.3412,0.3107,0.3588,0.2866,0.349,0.3432,0.3302,0.3337,0.3716,0.3582
