,DSS,MSS,RSC,MPS,INT,FEL,BLO,ROS,CUM,s1,s2,s3,s4,POV,SID,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,t1,t2,g1,g2,b1,b2
DSS,0.0,73.0936,82.5038,77.3462,75.5559,72.569,73.7013,64.0063,78.9613,72.0454,74.2075,71.1701,80.1559,84.4458,72.9488,85.1859,81.4033,72.6705,83.0013,82.1907,78.7994,73.5111,73.4652,82.9858,78.2237,86.1244,88.2728,86.1413,80.7838,79.2344,80.8784,80.8739,81.086,70.1112,84.1414,73.1524,82.7193,79.6174,76.1549,78.3176,84.6108,82.0877
MSS,73.0936,0.0,94.0479,55.9771,61.1184,57.4721,65.612,65.6017,57.986,56.9167,61.7012,61.2842,57.8847,65.7359,70.1938,67.8703,59.0505,68.0338,67.9163,62.0134,57.4061,65.7873,64.1813,63.0781,58.2225,69.8415,78.3507,70.2032,62.9464,60.6307,59.1226,61.5169,57.8959,59.4789,63.5243,62.6254,63.5925,63.8426,58.1923,66.2538,61.9563,62.8203
RSC,82.5038,94.0479,0.0,91.6528,93.5083,93.8019,90.4975,82.9559,94.5657,90.2257,94.9853,91.7048,95.112,97.809,85.4309,100.4902,95.4188,100.1066,100.2082,100.0785,97.4429,94.7343,94.1892,96.4379,94.0361,100.1743,102.8158,99.4861,93.4874,95.1514,94.7382,97.3268,96.1411,91.7694,99.1923,91.7041,98.9812,97.2689,93.0691,92.429,98.6993,98.9948
MPS,77.3462,55.9771,91.6528,0.0,61.6614,55.4921,67.3656,67.6415,57.5638,59.2147,58.6173,63.3721,58.0067,67.6252,69.449,68.8002,58.0427,66.652,66.4155,62.4035,55.4718,63.7053,61.4484,66.266,60.4935,70.693,77.0525,70.9291,63.2975,58.558,58.9822,62.925,58.835,59.8039,65.2843,59.9963,64.8809,60.6942,58.9046,61.4753,60.2635,62.8707
INT,75.5559,61.1184,93.5083,61.6614,0.0,58.6379,62.5719,66.9073,60.9346,57.8453,60.7366,56.3263,58.4007,68.6672,68.7922,68.3243,60.9077,68.3351,68.0693,65.7229,60.816,62.3104,60.2817,65.3022,62.0484,71.0639,75.538,71.0234,63.3086,59.3657,61.6274,62.8137,62.338,56.5348,64.6281,63.4707,65.1338,61.8605,58.7261,64.9727,67.9279,67.5541
FEL,72.569,57.4721,93.8019,55.4921,58.6379,0.0,53.6879,65.7464,54.9564,49.1445,55.187,56.6494,54.9535,64.3857,67.3261,66.5677,57.2307,63.4874,63.0093,61.9304,58.489,60.0534,58.1942,65.7692,61.1457,67.4179,73.2351,67.8088,62.6756,56.8589,57.1667,57.3095,59.5873,53.8783,62.9159,51.3066,65.1854,62.2353,56.9328,60.585,60.0239,61.9659
BLO,73.7013,65.612,90.4975,67.3656,62.5719,53.6879,0.0,65.6594,65.9643,59.4366,63.5484,58.7704,64.9246,67.0938,67.9298,74.6838,68.0472,71.8099,73.6008,69.5899,67.8822,63.2462,62.7544,71.907,67.9648,71.592,68.4846,70.5554,70.6438,65.1013,65.8834,68.5426,69.0043,60.2293,71.9214,64.2188,71.8418,68.8399,63.9518,62.1392,72.0037,74.2377
ROS,64.0063,65.6017,82.9559,67.6415,66.9073,65.7464,65.6594,0.0,68.1938,65.3912,67.1348,66.9134,69.9142,76.1807,66.9744,77.8651,71.4301,74.5234,75.8737,72.7856,69.432,68.0976,67.6032,74.9509,70.9228,78.4162,80.3099,76.2659,70.548,68.5665,70.8856,71.4452,71.5315,62.8321,75.1271,69.2006,73.92,73.3732,67.3545,70.5631,75.2108,72.5234
CUM,78.9613,57.986,94.5657,57.5638,60.9346,54.9564,65.9643,68.1938,0.0,56.2137,58.3262,59.825,45.9385,60.5746,71.0595,61.9545,45.6584,59.0138,57.382,50.5009,46.6334,59.8893,57.302,56.5728,51.9062,59.6426,76.5496,61.4021,49.2861,50.4714,51.2636,49.561,47.0023,56.3982,54.4774,62.101,56.7173,53.2541,46.5802,63.2331,53.2563,50.301
s1,72.0454,56.9167,90.2257,59.2147,57.8453,49.1445,59.4366,65.3912,56.2137,0.0,52.0685,51.5489,58.5623,63.2192,65.4123,67.6913,48.7174,64.6345,65.8523,62.2555,56.4909,59.0235,59.017,64.5433,61.0319,69.281,74.1672,68.6849,60.7991,56.266,56.8457,60.9166,59.8987,55.9705,64.0738,49.2538,65.9455,62.1293,57.9745,61.3494,65.9973,64.5177
s2,74.2075,61.7012,94.9853,58.6173,60.7366,55.187,63.5484,67.1348,58.3262,52.0685,0.0,57.7054,58.8702,67.0201,67.8565,71.373,60.4124,66.728,68.5128,60.6658,58.4654,63.0981,59.0053,67.8426,64.6817,69.3334,73.9617,71.3866,62.5845,57.9564,61.0126,63.2681,60.9861,54.0067,64.9121,57.739,68.7482,63.6959,60.8178,65.0108,66.5226,62.971
s3,71.1701,61.2842,91.7048,63.3721,56.3263,56.6494,58.7704,66.9134,59.825,51.5489,57.7054,0.0,57.362,70.358,66.4133,69.3963,60.7497,68.2523,67.5096,65.1548,59.8467,60.1582,58.5359,64.9574,65.0933,73.6547,74.0048,70.9275,63.9339,56.7681,60.4567,64.6972,60.7269,55.4809,67.9033,59.1624,68.8118,55.3938,59.5667,63.0495,70.3738,66.8494
s4,80.1559,57.8847,95.112,58.0067,58.4007,54.9535,64.9246,69.9142,45.9385,58.5623,58.8702,57.362,0.0,58.8955,69.5485,63.0839,48.8191,60.9739,61.0059,52.4672,50.0902,61.0925,58.0911,57.2433,53.26,63.3014,74.7354,62.4625,53.2348,49.1534,48.9811,53.8082,48.3184,51.0614,50.0071,61.9172,55.8422,54.5467,49.4638,64.0094,57.9778,52.6599
POV,84.4458,65.7359,97.809,67.6252,68.6672,64.3857,67.0938,76.1807,60.5746,63.2192,67.0201,70.358,58.8955,0.0,73.1559,68.0021,57.5617,67.8523,70.0995,62.8165,59.8832,70.165,70.7229,64.4857,60.9526,65.2007,73.6298,72.1735,63.2381,62.7747,59.4163,60.9333,60.3188,68.9127,65.4359,70.5011,63.9765,65.1157,61.397,70.2472,66.8749,63.9631
