+-------------------------------------------------------------+------------+
|                           Modules                           | Parameters |
+-------------------------------------------------------------+------------+
|                       register_tokens                       |   24576    |
|                     pos_embed.pos_embed                     |  12582912  |
|                    pos_embed.proj.weight                    |   49152    |
|                     pos_embed.proj.bias                     |    3072    |
|                   context_embedder.weight                   |  6291456   |
|                time_step_proj.linear_1.weight               |   786432   |
|                 time_step_proj.linear_1.bias                |    3072    |
|                time_step_proj.linear_2.weight               |  9437184   |
|                 time_step_proj.linear_2.bias                |    3072    |
|        joint_transformer_blocks.0.norm1.linear.weight       |  56623104  |
|    joint_transformer_blocks.0.norm1_context.linear.weight   |  56623104  |
|         joint_transformer_blocks.0.attn.to_q.weight         |  9437184   |
|         joint_transformer_blocks.0.attn.to_k.weight         |  9437184   |
|         joint_transformer_blocks.0.attn.to_v.weight         |  9437184   |
|      joint_transformer_blocks.0.attn.add_k_proj.weight      |  9437184   |
|      joint_transformer_blocks.0.attn.add_v_proj.weight      |  9437184   |
|      joint_transformer_blocks.0.attn.add_q_proj.weight      |  9437184   |
|       joint_transformer_blocks.0.attn.to_out.0.weight       |  9437184   |
|      joint_transformer_blocks.0.attn.to_add_out.weight      |  9437184   |
|        joint_transformer_blocks.0.ff.linear_1.weight        |  25165824  |
|        joint_transformer_blocks.0.ff.linear_2.weight        |  25165824  |
|     joint_transformer_blocks.0.ff.out_projection.weight     |  25165824  |
|    joint_transformer_blocks.0.ff_context.linear_1.weight    |  25165824  |
|    joint_transformer_blocks.0.ff_context.linear_2.weight    |  25165824  |
| joint_transformer_blocks.0.ff_context.out_projection.weight |  25165824  |
|        joint_transformer_blocks.1.norm1.linear.weight       |  56623104  |
|    joint_transformer_blocks.1.norm1_context.linear.weight   |  56623104  |
|         joint_transformer_blocks.1.attn.to_q.weight         |  9437184   |
|         joint_transformer_blocks.1.attn.to_k.weight         |  9437184   |
|         joint_transformer_blocks.1.attn.to_v.weight         |  9437184   |
|      joint_transformer_blocks.1.attn.add_k_proj.weight      |  9437184   |
|      joint_transformer_blocks.1.attn.add_v_proj.weight      |  9437184   |
|      joint_transformer_blocks.1.attn.add_q_proj.weight      |  9437184   |
|       joint_transformer_blocks.1.attn.to_out.0.weight       |  9437184   |
|      joint_transformer_blocks.1.attn.to_add_out.weight      |  9437184   |
|        joint_transformer_blocks.1.ff.linear_1.weight        |  25165824  |
|        joint_transformer_blocks.1.ff.linear_2.weight        |  25165824  |
|     joint_transformer_blocks.1.ff.out_projection.weight     |  25165824  |
|    joint_transformer_blocks.1.ff_context.linear_1.weight    |  25165824  |
|    joint_transformer_blocks.1.ff_context.linear_2.weight    |  25165824  |
| joint_transformer_blocks.1.ff_context.out_projection.weight |  25165824  |
|        joint_transformer_blocks.2.norm1.linear.weight       |  56623104  |
|    joint_transformer_blocks.2.norm1_context.linear.weight   |  56623104  |
|         joint_transformer_blocks.2.attn.to_q.weight         |  9437184   |
|         joint_transformer_blocks.2.attn.to_k.weight         |  9437184   |
|         joint_transformer_blocks.2.attn.to_v.weight         |  9437184   |
|      joint_transformer_blocks.2.attn.add_k_proj.weight      |  9437184   |
|      joint_transformer_blocks.2.attn.add_v_proj.weight      |  9437184   |
|      joint_transformer_blocks.2.attn.add_q_proj.weight      |  9437184   |
|       joint_transformer_blocks.2.attn.to_out.0.weight       |  9437184   |
|      joint_transformer_blocks.2.attn.to_add_out.weight      |  9437184   |
|        joint_transformer_blocks.2.ff.linear_1.weight        |  25165824  |
|        joint_transformer_blocks.2.ff.linear_2.weight        |  25165824  |
|     joint_transformer_blocks.2.ff.out_projection.weight     |  25165824  |
|    joint_transformer_blocks.2.ff_context.linear_1.weight    |  25165824  |
|    joint_transformer_blocks.2.ff_context.linear_2.weight    |  25165824  |
| joint_transformer_blocks.2.ff_context.out_projection.weight |  25165824  |
|        joint_transformer_blocks.3.norm1.linear.weight       |  56623104  |
|    joint_transformer_blocks.3.norm1_context.linear.weight   |  56623104  |
|         joint_transformer_blocks.3.attn.to_q.weight         |  9437184   |
|         joint_transformer_blocks.3.attn.to_k.weight         |  9437184   |
|         joint_transformer_blocks.3.attn.to_v.weight         |  9437184   |
|      joint_transformer_blocks.3.attn.add_k_proj.weight      |  9437184   |
|      joint_transformer_blocks.3.attn.add_v_proj.weight      |  9437184   |
|      joint_transformer_blocks.3.attn.add_q_proj.weight      |  9437184   |
|       joint_transformer_blocks.3.attn.to_out.0.weight       |  9437184   |
|      joint_transformer_blocks.3.attn.to_add_out.weight      |  9437184   |
|        joint_transformer_blocks.3.ff.linear_1.weight        |  25165824  |
|        joint_transformer_blocks.3.ff.linear_2.weight        |  25165824  |
|     joint_transformer_blocks.3.ff.out_projection.weight     |  25165824  |
|    joint_transformer_blocks.3.ff_context.linear_1.weight    |  25165824  |
|    joint_transformer_blocks.3.ff_context.linear_2.weight    |  25165824  |
| joint_transformer_blocks.3.ff_context.out_projection.weight |  25165824  |
|       single_transformer_blocks.0.norm1.linear.weight       |  56623104  |
|         single_transformer_blocks.0.attn.to_q.weight        |  9437184   |
|         single_transformer_blocks.0.attn.to_k.weight        |  9437184   |
|         single_transformer_blocks.0.attn.to_v.weight        |  9437184   |
|       single_transformer_blocks.0.attn.to_out.0.weight      |  9437184   |
|        single_transformer_blocks.0.ff.linear_1.weight       |  25165824  |
|        single_transformer_blocks.0.ff.linear_2.weight       |  25165824  |
|     single_transformer_blocks.0.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.1.norm1.linear.weight       |  56623104  |
|         single_transformer_blocks.1.attn.to_q.weight        |  9437184   |
|         single_transformer_blocks.1.attn.to_k.weight        |  9437184   |
|         single_transformer_blocks.1.attn.to_v.weight        |  9437184   |
|       single_transformer_blocks.1.attn.to_out.0.weight      |  9437184   |
|        single_transformer_blocks.1.ff.linear_1.weight       |  25165824  |
|        single_transformer_blocks.1.ff.linear_2.weight       |  25165824  |
|     single_transformer_blocks.1.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.2.norm1.linear.weight       |  56623104  |
|         single_transformer_blocks.2.attn.to_q.weight        |  9437184   |
|         single_transformer_blocks.2.attn.to_k.weight        |  9437184   |
|         single_transformer_blocks.2.attn.to_v.weight        |  9437184   |
|       single_transformer_blocks.2.attn.to_out.0.weight      |  9437184   |
|        single_transformer_blocks.2.ff.linear_1.weight       |  25165824  |
|        single_transformer_blocks.2.ff.linear_2.weight       |  25165824  |
|     single_transformer_blocks.2.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.3.norm1.linear.weight       |  56623104  |
|         single_transformer_blocks.3.attn.to_q.weight        |  9437184   |
|         single_transformer_blocks.3.attn.to_k.weight        |  9437184   |
|         single_transformer_blocks.3.attn.to_v.weight        |  9437184   |
|       single_transformer_blocks.3.attn.to_out.0.weight      |  9437184   |
|        single_transformer_blocks.3.ff.linear_1.weight       |  25165824  |
|        single_transformer_blocks.3.ff.linear_2.weight       |  25165824  |
|     single_transformer_blocks.3.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.4.norm1.linear.weight       |  56623104  |
|         single_transformer_blocks.4.attn.to_q.weight        |  9437184   |
|         single_transformer_blocks.4.attn.to_k.weight        |  9437184   |
|         single_transformer_blocks.4.attn.to_v.weight        |  9437184   |
|       single_transformer_blocks.4.attn.to_out.0.weight      |  9437184   |
|        single_transformer_blocks.4.ff.linear_1.weight       |  25165824  |
|        single_transformer_blocks.4.ff.linear_2.weight       |  25165824  |
|     single_transformer_blocks.4.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.5.norm1.linear.weight       |  56623104  |
|         single_transformer_blocks.5.attn.to_q.weight        |  9437184   |
|         single_transformer_blocks.5.attn.to_k.weight        |  9437184   |
