+----------------------------------------------------+------------+
|                      Modules                       | Parameters |
+----------------------------------------------------+------------+
| time_text_embed.timestep_embedder.linear_1.weight  |   786432   |
|  time_text_embed.timestep_embedder.linear_1.bias   |    3072    |
| time_text_embed.timestep_embedder.linear_2.weight  |  9437184   |
|  time_text_embed.timestep_embedder.linear_2.bias   |    3072    |
| time_text_embed.guidance_embedder.linear_1.weight  |   786432   |
|  time_text_embed.guidance_embedder.linear_1.bias   |    3072    |
| time_text_embed.guidance_embedder.linear_2.weight  |  9437184   |
|  time_text_embed.guidance_embedder.linear_2.bias   |    3072    |
|   time_text_embed.text_embedder.linear_1.weight    |  2359296   |
|    time_text_embed.text_embedder.linear_1.bias     |    3072    |
|   time_text_embed.text_embedder.linear_2.weight    |  9437184   |
|    time_text_embed.text_embedder.linear_2.bias     |    3072    |
|              context_embedder.weight               |  12582912  |
|               context_embedder.bias                |    3072    |
|                 x_embedder.weight                  |   196608   |
|                  x_embedder.bias                   |    3072    |
|      transformer_blocks.0.norm1.linear.weight      |  56623104  |
|       transformer_blocks.0.norm1.linear.bias       |   18432    |
|  transformer_blocks.0.norm1_context.linear.weight  |  56623104  |
|   transformer_blocks.0.norm1_context.linear.bias   |   18432    |
|      transformer_blocks.0.attn.norm_q.weight       |    128     |
|      transformer_blocks.0.attn.norm_k.weight       |    128     |
|       transformer_blocks.0.attn.to_q.weight        |  9437184   |
|        transformer_blocks.0.attn.to_q.bias         |    3072    |
|       transformer_blocks.0.attn.to_k.weight        |  9437184   |
|        transformer_blocks.0.attn.to_k.bias         |    3072    |
|       transformer_blocks.0.attn.to_v.weight        |  9437184   |
|        transformer_blocks.0.attn.to_v.bias         |    3072    |
|    transformer_blocks.0.attn.add_k_proj.weight     |  9437184   |
|     transformer_blocks.0.attn.add_k_proj.bias      |    3072    |
|    transformer_blocks.0.attn.add_v_proj.weight     |  9437184   |
|     transformer_blocks.0.attn.add_v_proj.bias      |    3072    |
|    transformer_blocks.0.attn.add_q_proj.weight     |  9437184   |
|     transformer_blocks.0.attn.add_q_proj.bias      |    3072    |
|     transformer_blocks.0.attn.to_out.0.weight      |  9437184   |
|      transformer_blocks.0.attn.to_out.0.bias       |    3072    |
|    transformer_blocks.0.attn.to_add_out.weight     |  9437184   |
|     transformer_blocks.0.attn.to_add_out.bias      |    3072    |
|   transformer_blocks.0.attn.norm_added_q.weight    |    128     |
|   transformer_blocks.0.attn.norm_added_k.weight    |    128     |
|     transformer_blocks.0.ff.net.0.proj.weight      |  37748736  |
|      transformer_blocks.0.ff.net.0.proj.bias       |   12288    |
|        transformer_blocks.0.ff.net.2.weight        |  37748736  |
|         transformer_blocks.0.ff.net.2.bias         |    3072    |
| transformer_blocks.0.ff_context.net.0.proj.weight  |  37748736  |
|  transformer_blocks.0.ff_context.net.0.proj.bias   |   12288    |
|    transformer_blocks.0.ff_context.net.2.weight    |  37748736  |
|     transformer_blocks.0.ff_context.net.2.bias     |    3072    |
|      transformer_blocks.1.norm1.linear.weight      |  56623104  |
|       transformer_blocks.1.norm1.linear.bias       |   18432    |
