+--------------------------------------------------+------------+
|                     Modules                      | Parameters |
+--------------------------------------------------+------------+
|              text_embedding_padding              |   340992   |
|          text_embedder.linear_1.weight           |  16777216  |
|           text_embedder.linear_1.bias            |    8192    |
|          text_embedder.linear_2.weight           |  8388608   |
|           text_embedder.linear_2.bias            |    1024    |
|              pos_embed.proj.weight               |   22528    |
|               pos_embed.proj.bias                |    1408    |
| time_extra_emb.timestep_embedder.linear_1.weight |   360448   |
|  time_extra_emb.timestep_embedder.linear_1.bias  |    1408    |
| time_extra_emb.timestep_embedder.linear_2.weight |  1982464   |
|  time_extra_emb.timestep_embedder.linear_2.bias  |    1408    |
|    time_extra_emb.pooler.positional_embedding    |   526336   |
|       time_extra_emb.pooler.k_proj.weight        |  4194304   |
|        time_extra_emb.pooler.k_proj.bias         |    2048    |
|       time_extra_emb.pooler.q_proj.weight        |  4194304   |
|        time_extra_emb.pooler.q_proj.bias         |    2048    |
|       time_extra_emb.pooler.v_proj.weight        |  4194304   |
|        time_extra_emb.pooler.v_proj.bias         |    2048    |
|       time_extra_emb.pooler.c_proj.weight        |  2097152   |
|        time_extra_emb.pooler.c_proj.bias         |    1024    |
|       time_extra_emb.style_embedder.weight       |    1408    |
|  time_extra_emb.extra_embedder.linear_1.weight   |  22347776  |
|   time_extra_emb.extra_embedder.linear_1.bias    |    5632    |
|  time_extra_emb.extra_embedder.linear_2.weight   |  7929856   |
|   time_extra_emb.extra_embedder.linear_2.bias    |    1408    |
|           blocks.0.norm1.linear.weight           |  1982464   |
|            blocks.0.norm1.linear.bias            |    1408    |
|            blocks.0.norm1.norm.weight            |    1408    |
|             blocks.0.norm1.norm.bias             |    1408    |
|           blocks.0.attn1.norm_q.weight           |     88     |
|            blocks.0.attn1.norm_q.bias            |     88     |
|           blocks.0.attn1.norm_k.weight           |     88     |
|            blocks.0.attn1.norm_k.bias            |     88     |
|            blocks.0.attn1.to_q.weight            |  1982464   |
|             blocks.0.attn1.to_q.bias             |    1408    |
|            blocks.0.attn1.to_k.weight            |  1982464   |
|             blocks.0.attn1.to_k.bias             |    1408    |
|            blocks.0.attn1.to_v.weight            |  1982464   |
|             blocks.0.attn1.to_v.bias             |    1408    |
|          blocks.0.attn1.to_out.0.weight          |  1982464   |
|           blocks.0.attn1.to_out.0.bias           |    1408    |
|              blocks.0.norm2.weight               |    1408    |
|               blocks.0.norm2.bias                |    1408    |
|           blocks.0.attn2.norm_q.weight           |     88     |
|            blocks.0.attn2.norm_q.bias            |     88     |
|           blocks.0.attn2.norm_k.weight           |     88     |
|            blocks.0.attn2.norm_k.bias            |     88     |
|            blocks.0.attn2.to_q.weight            |  1982464   |
|             blocks.0.attn2.to_q.bias             |    1408    |
|            blocks.0.attn2.to_k.weight            |  1441792   |
|             blocks.0.attn2.to_k.bias             |    1408    |
|            blocks.0.attn2.to_v.weight            |  1441792   |
|             blocks.0.attn2.to_v.bias             |    1408    |
|          blocks.0.attn2.to_out.0.weight          |  1982464   |
|           blocks.0.attn2.to_out.0.bias           |    1408    |
|              blocks.0.norm3.weight               |    1408    |
|               blocks.0.norm3.bias                |    1408    |
|          blocks.0.ff.net.0.proj.weight           |  8650752   |
|           blocks.0.ff.net.0.proj.bias            |    6144    |
|             blocks.0.ff.net.2.weight             |  8650752   |
|              blocks.0.ff.net.2.bias              |    1408    |
|           blocks.1.norm1.linear.weight           |  1982464   |
|            blocks.1.norm1.linear.bias            |    1408    |
|            blocks.1.norm1.norm.weight            |    1408    |
|             blocks.1.norm1.norm.bias             |    1408    |
|           blocks.1.attn1.norm_q.weight           |     88     |
|            blocks.1.attn1.norm_q.bias            |     88     |
|           blocks.1.attn1.norm_k.weight           |     88     |
|            blocks.1.attn1.norm_k.bias            |     88     |
|            blocks.1.attn1.to_q.weight            |  1982464   |
|             blocks.1.attn1.to_q.bias             |    1408    |
|            blocks.1.attn1.to_k.weight            |  1982464   |
|             blocks.1.attn1.to_k.bias             |    1408    |
|            blocks.1.attn1.to_v.weight            |  1982464   |
|             blocks.1.attn1.to_v.bias             |    1408    |
|          blocks.1.attn1.to_out.0.weight          |  1982464   |
|           blocks.1.attn1.to_out.0.bias           |    1408    |
|              blocks.1.norm2.weight               |    1408    |
|               blocks.1.norm2.bias                |    1408    |
|           blocks.1.attn2.norm_q.weight           |     88     |
|            blocks.1.attn2.norm_q.bias            |     88     |
|           blocks.1.attn2.norm_k.weight           |     88     |
|            blocks.1.attn2.norm_k.bias            |     88     |
|            blocks.1.attn2.to_q.weight            |  1982464   |
|             blocks.1.attn2.to_q.bias             |    1408    |
|            blocks.1.attn2.to_k.weight            |  1441792   |
|             blocks.1.attn2.to_k.bias             |    1408    |
|            blocks.1.attn2.to_v.weight            |  1441792   |
|             blocks.1.attn2.to_v.bias             |    1408    |
|          blocks.1.attn2.to_out.0.weight          |  1982464   |
|           blocks.1.attn2.to_out.0.bias           |    1408    |
|              blocks.1.norm3.weight               |    1408    |
|               blocks.1.norm3.bias                |    1408    |
|          blocks.1.ff.net.0.proj.weight           |  8650752   |
|           blocks.1.ff.net.0.proj.bias            |    6144    |
|             blocks.1.ff.net.2.weight             |  8650752   |
|              blocks.1.ff.net.2.bias              |    1408    |
|           blocks.2.norm1.linear.weight           |  1982464   |
|            blocks.2.norm1.linear.bias            |    1408    |
|            blocks.2.norm1.norm.weight            |    1408    |
|             blocks.2.norm1.norm.bias             |    1408    |
|           blocks.2.attn1.norm_q.weight           |     88     |
|            blocks.2.attn1.norm_q.bias            |     88     |
|           blocks.2.attn1.norm_k.weight           |     88     |
|            blocks.2.attn1.norm_k.bias            |     88     |
|            blocks.2.attn1.to_q.weight            |  1982464   |
|             blocks.2.attn1.to_q.bias             |    1408    |
|            blocks.2.attn1.to_k.weight            |  1982464   |
|             blocks.2.attn1.to_k.bias             |    1408    |
|            blocks.2.attn1.to_v.weight            |  1982464   |
|             blocks.2.attn1.to_v.bias             |    1408    |
|          blocks.2.attn1.to_out.0.weight          |  1982464   |
|           blocks.2.attn1.to_out.0.bias           |    1408    |
|              blocks.2.norm2.weight               |    1408    |
|               blocks.2.norm2.bias                |    1408    |
|           blocks.2.attn2.norm_q.weight           |     88     |
|            blocks.2.attn2.norm_q.bias            |     88     |
|           blocks.2.attn2.norm_k.weight           |     88     |
|            blocks.2.attn2.norm_k.bias            |     88     |
|            blocks.2.attn2.to_q.weight            |  1982464   |
|             blocks.2.attn2.to_q.bias             |    1408    |
|            blocks.2.attn2.to_k.weight            |  1441792   |
|             blocks.2.attn2.to_k.bias             |    1408    |
|            blocks.2.attn2.to_v.weight            |  1441792   |
|             blocks.2.attn2.to_v.bias             |    1408    |
|          blocks.2.attn2.to_out.0.weight          |  1982464   |
|           blocks.2.attn2.to_out.0.bias           |    1408    |
|              blocks.2.norm3.weight               |    1408    |
|               blocks.2.norm3.bias                |    1408    |
|          blocks.2.ff.net.0.proj.weight           |  8650752   |
|           blocks.2.ff.net.0.proj.bias            |    6144    |
|             blocks.2.ff.net.2.weight             |  8650752   |
|              blocks.2.ff.net.2.bias              |    1408    |
|           blocks.3.norm1.linear.weight           |  1982464   |
|            blocks.3.norm1.linear.bias            |    1408    |
|            blocks.3.norm1.norm.weight            |    1408    |
|             blocks.3.norm1.norm.bias             |    1408    |
|           blocks.3.attn1.norm_q.weight           |     88     |
|            blocks.3.attn1.norm_q.bias            |     88     |
|           blocks.3.attn1.norm_k.weight           |     88     |
|            blocks.3.attn1.norm_k.bias            |     88     |
|            blocks.3.attn1.to_q.weight            |  1982464   |
|             blocks.3.attn1.to_q.bias             |    1408    |
|            blocks.3.attn1.to_k.weight            |  1982464   |
|             blocks.3.attn1.to_k.bias             |    1408    |
|            blocks.3.attn1.to_v.weight            |  1982464   |
|             blocks.3.attn1.to_v.bias             |    1408    |
|          blocks.3.attn1.to_out.0.weight          |  1982464   |
|           blocks.3.attn1.to_out.0.bias           |    1408    |
|              blocks.3.norm2.weight               |    1408    |
|               blocks.3.norm2.bias                |    1408    |
|           blocks.3.attn2.norm_q.weight           |     88     |
|            blocks.3.attn2.norm_q.bias            |     88     |
|           blocks.3.attn2.norm_k.weight           |     88     |
|            blocks.3.attn2.norm_k.bias            |     88     |
|            blocks.3.attn2.to_q.weight            |  1982464   |
|             blocks.3.attn2.to_q.bias             |    1408    |
|            blocks.3.attn2.to_k.weight            |  1441792   |
|             blocks.3.attn2.to_k.bias             |    1408    |
|            blocks.3.attn2.to_v.weight            |  1441792   |
|             blocks.3.attn2.to_v.bias             |    1408    |
|          blocks.3.attn2.to_out.0.weight          |  1982464   |
|           blocks.3.attn2.to_out.0.bias           |    1408    |
|              blocks.3.norm3.weight               |    1408    |
|               blocks.3.norm3.bias                |    1408    |
|          blocks.3.ff.net.0.proj.weight           |  8650752   |
|           blocks.3.ff.net.0.proj.bias            |    6144    |
|             blocks.3.ff.net.2.weight             |  8650752   |
|              blocks.3.ff.net.2.bias              |    1408    |
|           blocks.4.norm1.linear.weight           |  1982464   |
|            blocks.4.norm1.linear.bias            |    1408    |
|            blocks.4.norm1.norm.weight            |    1408    |
|             blocks.4.norm1.norm.bias             |    1408    |
|           blocks.4.attn1.norm_q.weight           |     88     |
|            blocks.4.attn1.norm_q.bias            |     88     |
|           blocks.4.attn1.norm_k.weight           |     88     |
|            blocks.4.attn1.norm_k.bias            |     88     |
|            blocks.4.attn1.to_q.weight            |  1982464   |
|             blocks.4.attn1.to_q.bias             |    1408    |
|            blocks.4.attn1.to_k.weight            |  1982464   |
|             blocks.4.attn1.to_k.bias             |    1408    |
|            blocks.4.attn1.to_v.weight            |  1982464   |
|             blocks.4.attn1.to_v.bias             |    1408    |
|          blocks.4.attn1.to_out.0.weight          |  1982464   |
|           blocks.4.attn1.to_out.0.bias           |    1408    |
|              blocks.4.norm2.weight               |    1408    |
|               blocks.4.norm2.bias                |    1408    |
|           blocks.4.attn2.norm_q.weight           |     88     |
|            blocks.4.attn2.norm_q.bias            |     88     |
|           blocks.4.attn2.norm_k.weight           |     88     |
|            blocks.4.attn2.norm_k.bias            |     88     |
|            blocks.4.attn2.to_q.weight            |  1982464   |
|             blocks.4.attn2.to_q.bias             |    1408    |
|            blocks.4.attn2.to_k.weight            |  1441792   |
|             blocks.4.attn2.to_k.bias             |    1408    |
|            blocks.4.attn2.to_v.weight            |  1441792   |
|             blocks.4.attn2.to_v.bias             |    1408    |
|          blocks.4.attn2.to_out.0.weight          |  1982464   |
|           blocks.4.attn2.to_out.0.bias           |    1408    |
|              blocks.4.norm3.weight               |    1408    |
|               blocks.4.norm3.bias                |    1408    |
|          blocks.4.ff.net.0.proj.weight           |  8650752   |
|           blocks.4.ff.net.0.proj.bias            |    6144    |
|             blocks.4.ff.net.2.weight             |  8650752   |
|              blocks.4.ff.net.2.bias              |    1408    |
|           blocks.5.norm1.linear.weight           |  1982464   |
|            blocks.5.norm1.linear.bias            |    1408    |
|            blocks.5.norm1.norm.weight            |    1408    |
|             blocks.5.norm1.norm.bias             |    1408    |
|           blocks.5.attn1.norm_q.weight           |     88     |
|            blocks.5.attn1.norm_q.bias            |     88     |
|           blocks.5.attn1.norm_k.weight           |     88     |
|            blocks.5.attn1.norm_k.bias            |     88     |
|            blocks.5.attn1.to_q.weight            |  1982464   |
|             blocks.5.attn1.to_q.bias             |    1408    |
|            blocks.5.attn1.to_k.weight            |  1982464   |
|             blocks.5.attn1.to_k.bias             |    1408    |
|            blocks.5.attn1.to_v.weight            |  1982464   |
|             blocks.5.attn1.to_v.bias             |    1408    |
|          blocks.5.attn1.to_out.0.weight          |  1982464   |
|           blocks.5.attn1.to_out.0.bias           |    1408    |
|              blocks.5.norm2.weight               |    1408    |
|               blocks.5.norm2.bias                |    1408    |
