+----------------------------------------------------+------------+
|                      Modules                       | Parameters |
+----------------------------------------------------+------------+
|               pos_embed.proj.weight                |   98304    |
|                pos_embed.proj.bias                 |    1536    |
| time_text_embed.timestep_embedder.linear_1.weight  |   393216   |
|  time_text_embed.timestep_embedder.linear_1.bias   |    1536    |
| time_text_embed.timestep_embedder.linear_2.weight  |  2359296   |
|  time_text_embed.timestep_embedder.linear_2.bias   |    1536    |
|   time_text_embed.text_embedder.linear_1.weight    |  3145728   |
|    time_text_embed.text_embedder.linear_1.bias     |    1536    |
|   time_text_embed.text_embedder.linear_2.weight    |  2359296   |
|    time_text_embed.text_embedder.linear_2.bias     |    1536    |
|              context_embedder.weight               |  6291456   |
|               context_embedder.bias                |    1536    |
|      transformer_blocks.0.norm1.linear.weight      |  14155776  |
|       transformer_blocks.0.norm1.linear.bias       |    9216    |
|  transformer_blocks.0.norm1_context.linear.weight  |  14155776  |
|   transformer_blocks.0.norm1_context.linear.bias   |    9216    |
|       transformer_blocks.0.attn.to_q.weight        |  2359296   |
|        transformer_blocks.0.attn.to_q.bias         |    1536    |
|       transformer_blocks.0.attn.to_k.weight        |  2359296   |
|        transformer_blocks.0.attn.to_k.bias         |    1536    |
|       transformer_blocks.0.attn.to_v.weight        |  2359296   |
|        transformer_blocks.0.attn.to_v.bias         |    1536    |
|    transformer_blocks.0.attn.add_k_proj.weight     |  2359296   |
|     transformer_blocks.0.attn.add_k_proj.bias      |    1536    |
|    transformer_blocks.0.attn.add_v_proj.weight     |  2359296   |
|     transformer_blocks.0.attn.add_v_proj.bias      |    1536    |
|    transformer_blocks.0.attn.add_q_proj.weight     |  2359296   |
|     transformer_blocks.0.attn.add_q_proj.bias      |    1536    |
|     transformer_blocks.0.attn.to_out.0.weight      |  2359296   |
|      transformer_blocks.0.attn.to_out.0.bias       |    1536    |
|    transformer_blocks.0.attn.to_add_out.weight     |  2359296   |
|     transformer_blocks.0.attn.to_add_out.bias      |    1536    |
|     transformer_blocks.0.ff.net.0.proj.weight      |  9437184   |
|      transformer_blocks.0.ff.net.0.proj.bias       |    6144    |
|        transformer_blocks.0.ff.net.2.weight        |  9437184   |
|         transformer_blocks.0.ff.net.2.bias         |    1536    |
| transformer_blocks.0.ff_context.net.0.proj.weight  |  9437184   |
|  transformer_blocks.0.ff_context.net.0.proj.bias   |    6144    |
|    transformer_blocks.0.ff_context.net.2.weight    |  9437184   |
|     transformer_blocks.0.ff_context.net.2.bias     |    1536    |
|      transformer_blocks.1.norm1.linear.weight      |  14155776  |
|       transformer_blocks.1.norm1.linear.bias       |    9216    |
|  transformer_blocks.1.norm1_context.linear.weight  |  14155776  |
|   transformer_blocks.1.norm1_context.linear.bias   |    9216    |
|       transformer_blocks.1.attn.to_q.weight        |  2359296   |
|        transformer_blocks.1.attn.to_q.bias         |    1536    |
|       transformer_blocks.1.attn.to_k.weight        |  2359296   |
|        transformer_blocks.1.attn.to_k.bias         |    1536    |
|       transformer_blocks.1.attn.to_v.weight        |  2359296   |
|        transformer_blocks.1.attn.to_v.bias         |    1536    |
|    transformer_blocks.1.attn.add_k_proj.weight     |  2359296   |
|     transformer_blocks.1.attn.add_k_proj.bias      |    1536    |
|    transformer_blocks.1.attn.add_v_proj.weight     |  2359296   |
|     transformer_blocks.1.attn.add_v_proj.bias      |    1536    |
|    transformer_blocks.1.attn.add_q_proj.weight     |  2359296   |
|     transformer_blocks.1.attn.add_q_proj.bias      |    1536    |
|     transformer_blocks.1.attn.to_out.0.weight      |  2359296   |
|      transformer_blocks.1.attn.to_out.0.bias       |    1536    |
|    transformer_blocks.1.attn.to_add_out.weight     |  2359296   |
|     transformer_blocks.1.attn.to_add_out.bias      |    1536    |
|     transformer_blocks.1.ff.net.0.proj.weight      |  9437184   |
|      transformer_blocks.1.ff.net.0.proj.bias       |    6144    |
|        transformer_blocks.1.ff.net.2.weight        |  9437184   |
|         transformer_blocks.1.ff.net.2.bias         |    1536    |
| transformer_blocks.1.ff_context.net.0.proj.weight  |  9437184   |
|  transformer_blocks.1.ff_context.net.0.proj.bias   |    6144    |
|    transformer_blocks.1.ff_context.net.2.weight    |  9437184   |
|     transformer_blocks.1.ff_context.net.2.bias     |    1536    |
|      transformer_blocks.2.norm1.linear.weight      |  14155776  |
|       transformer_blocks.2.norm1.linear.bias       |    9216    |
|  transformer_blocks.2.norm1_context.linear.weight  |  14155776  |
|   transformer_blocks.2.norm1_context.linear.bias   |    9216    |
|       transformer_blocks.2.attn.to_q.weight        |  2359296   |
|        transformer_blocks.2.attn.to_q.bias         |    1536    |
|       transformer_blocks.2.attn.to_k.weight        |  2359296   |
|        transformer_blocks.2.attn.to_k.bias         |    1536    |
|       transformer_blocks.2.attn.to_v.weight        |  2359296   |
|        transformer_blocks.2.attn.to_v.bias         |    1536    |
|    transformer_blocks.2.attn.add_k_proj.weight     |  2359296   |
|     transformer_blocks.2.attn.add_k_proj.bias      |    1536    |
|    transformer_blocks.2.attn.add_v_proj.weight     |  2359296   |
|     transformer_blocks.2.attn.add_v_proj.bias      |    1536    |
|    transformer_blocks.2.attn.add_q_proj.weight     |  2359296   |
|     transformer_blocks.2.attn.add_q_proj.bias      |    1536    |
|     transformer_blocks.2.attn.to_out.0.weight      |  2359296   |
|      transformer_blocks.2.attn.to_out.0.bias       |    1536    |
|    transformer_blocks.2.attn.to_add_out.weight     |  2359296   |
|     transformer_blocks.2.attn.to_add_out.bias      |    1536    |
|     transformer_blocks.2.ff.net.0.proj.weight      |  9437184   |
|      transformer_blocks.2.ff.net.0.proj.bias       |    6144    |
|        transformer_blocks.2.ff.net.2.weight        |  9437184   |
|         transformer_blocks.2.ff.net.2.bias         |    1536    |
| transformer_blocks.2.ff_context.net.0.proj.weight  |  9437184   |
|  transformer_blocks.2.ff_context.net.0.proj.bias   |    6144    |
|    transformer_blocks.2.ff_context.net.2.weight    |  9437184   |
|     transformer_blocks.2.ff_context.net.2.bias     |    1536    |
|      transformer_blocks.3.norm1.linear.weight      |  14155776  |
|       transformer_blocks.3.norm1.linear.bias       |    9216    |
|  transformer_blocks.3.norm1_context.linear.weight  |  14155776  |
|   transformer_blocks.3.norm1_context.linear.bias   |    9216    |
|       transformer_blocks.3.attn.to_q.weight        |  2359296   |
|        transformer_blocks.3.attn.to_q.bias         |    1536    |
|       transformer_blocks.3.attn.to_k.weight        |  2359296   |
|        transformer_blocks.3.attn.to_k.bias         |    1536    |
|       transformer_blocks.3.attn.to_v.weight        |  2359296   |
|        transformer_blocks.3.attn.to_v.bias         |    1536    |
|    transformer_blocks.3.attn.add_k_proj.weight     |  2359296   |
|     transformer_blocks.3.attn.add_k_proj.bias      |    1536    |
|    transformer_blocks.3.attn.add_v_proj.weight     |  2359296   |
|     transformer_blocks.3.attn.add_v_proj.bias      |    1536    |
|    transformer_blocks.3.attn.add_q_proj.weight     |  2359296   |
|     transformer_blocks.3.attn.add_q_proj.bias      |    1536    |
|     transformer_blocks.3.attn.to_out.0.weight      |  2359296   |
|      transformer_blocks.3.attn.to_out.0.bias       |    1536    |
|    transformer_blocks.3.attn.to_add_out.weight     |  2359296   |
|     transformer_blocks.3.attn.to_add_out.bias      |    1536    |
|     transformer_blocks.3.ff.net.0.proj.weight      |  9437184   |
|      transformer_blocks.3.ff.net.0.proj.bias       |    6144    |
|        transformer_blocks.3.ff.net.2.weight        |  9437184   |
|         transformer_blocks.3.ff.net.2.bias         |    1536    |
| transformer_blocks.3.ff_context.net.0.proj.weight  |  9437184   |
|  transformer_blocks.3.ff_context.net.0.proj.bias   |    6144    |
|    transformer_blocks.3.ff_context.net.2.weight    |  9437184   |
|     transformer_blocks.3.ff_context.net.2.bias     |    1536    |
|      transformer_blocks.4.norm1.linear.weight      |  14155776  |
|       transformer_blocks.4.norm1.linear.bias       |    9216    |
|  transformer_blocks.4.norm1_context.linear.weight  |  14155776  |
|   transformer_blocks.4.norm1_context.linear.bias   |    9216    |
|       transformer_blocks.4.attn.to_q.weight        |  2359296   |
|        transformer_blocks.4.attn.to_q.bias         |    1536    |
|       transformer_blocks.4.attn.to_k.weight        |  2359296   |
|        transformer_blocks.4.attn.to_k.bias         |    1536    |
|       transformer_blocks.4.attn.to_v.weight        |  2359296   |
|        transformer_blocks.4.attn.to_v.bias         |    1536    |
|    transformer_blocks.4.attn.add_k_proj.weight     |  2359296   |
|     transformer_blocks.4.attn.add_k_proj.bias      |    1536    |
|    transformer_blocks.4.attn.add_v_proj.weight     |  2359296   |
|     transformer_blocks.4.attn.add_v_proj.bias      |    1536    |
|    transformer_blocks.4.attn.add_q_proj.weight     |  2359296   |
|     transformer_blocks.4.attn.add_q_proj.bias      |    1536    |
|     transformer_blocks.4.attn.to_out.0.weight      |  2359296   |
|      transformer_blocks.4.attn.to_out.0.bias       |    1536    |
|    transformer_blocks.4.attn.to_add_out.weight     |  2359296   |
|     transformer_blocks.4.attn.to_add_out.bias      |    1536    |
|     transformer_blocks.4.ff.net.0.proj.weight      |  9437184   |
|      transformer_blocks.4.ff.net.0.proj.bias       |    6144    |
|        transformer_blocks.4.ff.net.2.weight        |  9437184   |
|         transformer_blocks.4.ff.net.2.bias         |    1536    |
| transformer_blocks.4.ff_context.net.0.proj.weight  |  9437184   |
|  transformer_blocks.4.ff_context.net.0.proj.bias   |    6144    |
|    transformer_blocks.4.ff_context.net.2.weight    |  9437184   |
|     transformer_blocks.4.ff_context.net.2.bias     |    1536    |
|      transformer_blocks.5.norm1.linear.weight      |  14155776  |
|       transformer_blocks.5.norm1.linear.bias       |    9216    |
|  transformer_blocks.5.norm1_context.linear.weight  |  14155776  |
|   transformer_blocks.5.norm1_context.linear.bias   |    9216    |
|       transformer_blocks.5.attn.to_q.weight        |  2359296   |
|        transformer_blocks.5.attn.to_q.bias         |    1536    |
|       transformer_blocks.5.attn.to_k.weight        |  2359296   |
|        transformer_blocks.5.attn.to_k.bias         |    1536    |
|       transformer_blocks.5.attn.to_v.weight        |  2359296   |
|        transformer_blocks.5.attn.to_v.bias         |    1536    |
|    transformer_blocks.5.attn.add_k_proj.weight     |  2359296   |
|     transformer_blocks.5.attn.add_k_proj.bias      |    1536    |
|    transformer_blocks.5.attn.add_v_proj.weight     |  2359296   |
|     transformer_blocks.5.attn.add_v_proj.bias      |    1536    |
|    transformer_blocks.5.attn.add_q_proj.weight     |  2359296   |
|     transformer_blocks.5.attn.add_q_proj.bias      |    1536    |
|     transformer_blocks.5.attn.to_out.0.weight      |  2359296   |
|      transformer_blocks.5.attn.to_out.0.bias       |    1536    |
|    transformer_blocks.5.attn.to_add_out.weight     |  2359296   |
|     transformer_blocks.5.attn.to_add_out.bias      |    1536    |
|     transformer_blocks.5.ff.net.0.proj.weight      |  9437184   |
|      transformer_blocks.5.ff.net.0.proj.bias       |    6144    |
|        transformer_blocks.5.ff.net.2.weight        |  9437184   |
|         transformer_blocks.5.ff.net.2.bias         |    1536    |
| transformer_blocks.5.ff_context.net.0.proj.weight  |  9437184   |
|  transformer_blocks.5.ff_context.net.0.proj.bias   |    6144    |
|    transformer_blocks.5.ff_context.net.2.weight    |  9437184   |
|     transformer_blocks.5.ff_context.net.2.bias     |    1536    |
|      transformer_blocks.6.norm1.linear.weight      |  14155776  |
|       transformer_blocks.6.norm1.linear.bias       |    9216    |
|  transformer_blocks.6.norm1_context.linear.weight  |  14155776  |
|   transformer_blocks.6.norm1_context.linear.bias   |    9216    |
|       transformer_blocks.6.attn.to_q.weight        |  2359296   |
|        transformer_blocks.6.attn.to_q.bias         |    1536    |
|       transformer_blocks.6.attn.to_k.weight        |  2359296   |
|        transformer_blocks.6.attn.to_k.bias         |    1536    |
|       transformer_blocks.6.attn.to_v.weight        |  2359296   |
|        transformer_blocks.6.attn.to_v.bias         |    1536    |
|    transformer_blocks.6.attn.add_k_proj.weight     |  2359296   |
|     transformer_blocks.6.attn.add_k_proj.bias      |    1536    |
|    transformer_blocks.6.attn.add_v_proj.weight     |  2359296   |
|     transformer_blocks.6.attn.add_v_proj.bias      |    1536    |
|    transformer_blocks.6.attn.add_q_proj.weight     |  2359296   |
|     transformer_blocks.6.attn.add_q_proj.bias      |    1536    |
|     transformer_blocks.6.attn.to_out.0.weight      |  2359296   |
