0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,score,eval_times,iter_times
0.15,0.8,0.9,0.3,0.55,0.6,0.55,0.45,0.4,0.05,0.85,0.15,0.25,0.55,0.6,0.75,0.9,0.5,0.65,0.35,0.6,0.9,0.05,0.6,0.55,0.2,0.7,0.48236785026132034,168229.3105931282,168286.57178664207
0.05,0.55,0.2,0.25,0.5,0.8,0.5,0.65,0.9,0.0,0.65,0.35,0.75,0.55,0.75,0.7,0.7,0.1,0.15,0.35,0.65,0.95,0.2,0.85,0.9,0.05,0.25,0.48483352079184544,168229.3105931282,168286.57178664207
0.05,0.55,0.2,0.25,0.5,0.8,0.5,0.65,0.9,0.0,0.65,0.35,0.75,0.55,0.75,0.7,0.7,0.05,0.15,0.35,0.65,0.95,0.2,0.85,0.9,0.05,0.25,0.4892659351967518,168229.3105931282,168286.57178664207
0.05,0.55,0.1,0.25,0.5,0.8,0.5,0.65,1.0,0.0,0.65,0.35,0.75,0.55,0.75,0.7,0.7,0.05,0.15,0.35,0.65,0.95,0.2,0.85,0.9,0.05,0.25,0.47789785492839326,168229.3105931282,168286.57178664207
0.05,0.55,0.2,0.45,0.5,0.8,0.5,0.65,0.9,0.0,0.65,0.35,0.75,0.75,0.75,0.7,0.7,0.05,0.15,0.35,0.9,0.85,0.2,0.85,0.9,0.05,0.25,0.48306100323887696,168229.3105931282,168286.57178664207
0.05,0.1,0.1,0.45,1.0,0.8,0.5,0.95,1.0,0.0,0.65,0.75,0.9,0.75,0.75,0.5,0.15,0.05,0.15,0.35,0.9,0.85,0.65,0.85,0.9,0.5,0.25,0.4985272142553114,168229.3105931282,168286.57178664207
0.05,0.1,0.1,0.45,1.0,0.8,0.5,0.95,1.0,0.0,0.65,0.75,0.9,0.75,0.75,0.5,0.15,0.05,0.15,0.35,0.9,0.85,0.65,0.85,0.9,0.5,0.25,0.4985272142553114,168229.3105931282,168286.57178664207
0.05,0.1,0.2,0.25,1.0,0.8,0.5,0.95,0.9,0.0,0.65,0.75,0.9,0.55,0.75,0.5,0.15,0.05,0.15,0.35,0.65,0.95,0.65,0.85,0.9,0.5,0.25,0.4960233175326254,168229.3105931282,168286.57178664207
0.05,0.1,0.2,0.45,1.0,0.8,0.5,0.65,0.9,0.0,0.65,0.75,0.9,0.75,0.75,0.7,0.15,0.05,0.15,0.35,0.9,0.85,0.65,0.85,0.9,0.5,0.25,0.49374590782846384,168229.3105931282,168286.57178664207
0.05,0.1,0.2,0.45,1.0,0.8,0.5,0.95,0.9,0.0,0.65,0.35,0.9,0.75,0.75,0.5,0.15,0.05,0.15,0.35,0.9,0.95,0.65,0.85,0.9,0.5,0.25,0.5034451867563914,168229.3105931282,168286.57178664207
0.05,0.1,0.2,0.25,1.0,0.8,0.5,0.95,0.9,0.0,0.65,0.35,0.9,0.75,0.75,0.5,0.15,0.05,0.15,0.35,0.9,0.85,0.65,0.85,0.9,0.5,0.25,0.5066740374838966,168229.3105931282,168286.57178664207
0.05,0.1,0.2,0.25,1.0,0.8,0.5,0.95,0.9,0.0,0.65,0.35,0.75,0.75,0.75,0.5,0.15,0.05,0.15,0.35,0.9,0.85,0.65,0.85,0.9,0.5,0.25,0.488855724386864,168229.3105931282,168286.57178664207
0.05,0.1,0.2,0.45,1.0,0.8,0.5,0.95,0.9,0.0,0.65,0.35,0.9,0.55,0.75,0.5,0.15,0.05,0.15,0.35,0.9,0.95,0.65,0.85,0.9,0.05,0.25,0.47821348517524653,168229.3105931282,168286.57178664207
0.05,0.1,0.2,0.25,0.5,0.8,0.5,0.95,0.9,0.0,0.65,0.75,0.9,0.75,0.75,0.5,0.15,0.05,0.15,0.35,0.9,0.95,0.2,0.85,0.9,0.5,0.25,0.5058830812303786,168229.3105931282,168286.57178664207
0.05,0.1,0.2,0.45,0.5,0.8,0.5,0.95,0.9,0.0,0.65,0.75,0.9,0.75,0.75,0.5,0.15,0.05,0.15,0.35,0.65,0.85,0.2,0.85,0.9,0.5,0.25,0.5082902387294048,168229.3105931282,168286.57178664207
0.05,0.1,0.2,0.25,0.5,0.8,0.5,0.95,0.9,0.0,0.65,0.75,0.9,0.75,0.75,0.5,0.15,0.05,0.15,0.35,0.65,0.85,0.2,0.85,0.9,0.5,0.25,0.5100472663796799,168229.3105931282,168286.57178664207
